host,message,n_unique_hosts,n_similar_messages,@timestamp,syslog_severity
n2173301,igb 0000:06:00.0 eno1: Reset adapter,1,2,2023-07-12 20:51:09.170000+00:00,error
n2173301,rcu: 	4-....: (1 GPs behind) idle=479/1/0x4000000000000000 softirq=15122273/15122274 fqs=455 ,1,3,2023-07-12 20:42:40.183000+00:00,error
n2173301,rcu: INFO: rcu_preempt self-detected stall on CPU,1,7,2023-07-12 20:42:40.178000+00:00,error
n2081302,Error receiving audit netlink packet (No buffer space available),1,2,2023-07-12 16:20:17.934000+00:00,error
crguest14,Failed to enqueue OnFailure= job: Resource deadlock avoided,1,2,2023-07-12 16:03:24.044000+00:00,error
megtestq1n1,usb 2-1-port1: over-current condition,1,2,2023-07-12 15:50:40.459000+00:00,error
diri01,hid-generic 0003:03F0:034A.006C: usb_submit_urb(ctrl) failed: -19,1,2,2023-07-12 15:24:31.224000+00:00,error
n2060301,Exiting the SSSD. Could not restart critical service [nss].,1,7,2023-07-12 15:04:01.941000+00:00,error
xxeb06,"    return MatMul8bitLt.apply(A, B, out, bias, state)",1,4,2023-07-12 15:02:55.937000+00:00,error
xxeb06,RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 2x8192),1,2,2023-07-12 15:02:55.937000+00:00,error
crot03.lbdaq.cern.ch,"tpm tpm0: [Firmware Bug]: TPM interrupt not working, polling instead",1,2,2023-07-12 14:52:56.585000+00:00,error
crot03.lbdaq.cern.ch,thunderbolt 0000:03:00.0: failed to send driver ready to ICM,1,4,2023-07-12 14:52:56.584000+00:00,error
xxeb06,"/usr/local/lib/python3.8/dist-packages/bitsandbytes/cuda_setup/main.py:149: UserWarning: WARNING: The following directories listed in your path were found to be non-existent: {PosixPath('http'), PosixPath('//lbproxy.cern.ch'), PosixPath('8080')}",1,10,2023-07-12 13:01:32.858000+00:00,error
xxeb06,2023-07-12 13:01:16.278999: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.,1,4,2023-07-12 13:01:16.279000+00:00,error
loadbalancer-pluscc,"Tried to mail output of job `cron.daily', but mailer process (/usr/sbin/sendmail) exited with status 71",1,2,2023-07-12 11:31:04.797000+00:00,error
n8190704,Not saving repeating crash in '/localdisk1/.vscode-server/extensions/ms-python.vscode-pylance-2023.5.30/dist/bundled/files/get_pytest_options.py',2,3,2023-07-12 09:19:50.953000+00:00,error
daqv0207,Timed out waiting for device 4 primary.,1,2,2023-07-12 09:08:54.378000+00:00,error
n6093103,Failed to send WATCHDOG=1 notification message: Connection refused,3,4,2023-07-12 09:08:39.336000+00:00,error
lhcbasus01,sep5_39: Driver loading...,1,11,2023-07-12 08:43:30.877000+00:00,error
lhcbasus01,failed to execute '/usr/lib/udev/bwnotify' 'bwnotify 3-2.4': No such file or directory,1,5,2023-07-12 08:43:23.843000+00:00,error
lhcbasus01,i2c i2c-0: sendbytes: NAK bailout.,1,5,2023-07-12 08:43:21.260000+00:00,error
uceb10,,1,2,2023-07-12 08:40:16.663000+00:00,error
uceb10,"uverbs0: /etc/udev/rules.d/90-ib.rules:4 Only network interfaces can be renamed, ignoring NAME=""infiniband/%k"".",1,2,2023-07-12 08:40:15.931000+00:00,error
crot02,Failed to start LSB: Bring up/down networking.,2,3,2023-07-12 08:37:47.770000+00:00,error
crot02,'/var/spool/abrt/ccpp-2023-05-08-13:18:27-9441' is not a problem directory,1,7,2023-07-12 08:37:41.291000+00:00,error
crot02,specified group 'plugdev' unknown,2,3,2023-07-12 08:37:39.439000+00:00,error
